"Entitled to special refunds on medicines for psychosis, as % of total population",Evijärvi,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.4,3.3,3.3,3.3,3.2,3.1,3.3,3.2,3.3,3.1,3.3,3.0,2.9,2.8,2.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Finström,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Forssa,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2.0,2.0,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.1,1.9,1.9,1.9,1.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Föglö,1.7,1.7,1.7,1.6,1.8,1.9,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3,1.2,1.3,1.3,1.5,1.5,1.4,1.2,1.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Geta,1.0,1.0,0.8,1.0,0.9,1.1,1.1,1.6,1.3,1.1,1.1,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Haapajärvi,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.2,2.2,2.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Haapavesi,2.0,2.1,2.1,2.2,2.3,2.4,2.5,2.7,2.6,2.6,2.5,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.3,2.5,2.2,2.1,2.1,2.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Hailuoto,2.0,1.7,2.0,1.7,1.4,1.6,1.8,2.0,1.8,1.5,1.5,1.3,1.4,1.6,1.6,1.5,1.7,1.9,1.9,2.1,2.1,2.0,1.9,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Halsua,2.5,2.5,2.6,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.6,2.4,2.3,2.3,2.3,2.0,2.1,2.1,2.1,1.9,1.9,1.8,1.8,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Hamina,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.4,1.5,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Hammarland,0.7,0.7,0.8,0.8,0.9,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.8,0.6,0.6,0.6,0.7,0.7,0.7,0.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Hankasalmi,2.5,2.6,2.8,2.8,2.8,2.8,2.9,2.9,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.3,2.3,2.3,2.3,2.4,2.3,2.3,2.4,2.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Hanko,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.7,1.8,2.0,1.8,1.8,1.8,1.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Harjavalta,1.5,1.5,1.5,1.6,1.5,1.4,1.6,1.6,1.8,1.8,1.9,1.9,2.0,1.9,1.9,2.0,1.9,2.0,2.2,2.2,2.1,2.2,2.1,2.0
"Entitled to special refunds on medicines for psychosis, as % of total population",Hartola,1.9,1.9,1.8,2.2,2.1,2.1,2.2,2.3,2.4,2.4,2.2,2.0,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.0,1.8,1.7,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Hattula,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Hausjärvi,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.6,1.7,1.6,1.6,1.6,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Heinola,1.6,1.7,1.8,1.8,1.9,2.0,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.3,2.3,2.6,2.3,2.3,2.3,2.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Heinävesi,2.9,3.1,3.4,3.4,3.5,3.5,3.4,3.5,3.5,3.6,3.7,3.6,3.7,3.8,3.8,3.7,4.0,3.7,3.7,4.2,3.8,4.0,3.8,3.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Helsinki,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.6,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Hirvensalmi,3.0,2.8,2.8,2.8,2.7,2.8,2.7,2.6,2.6,2.8,2.7,2.6,2.6,2.4,2.5,2.4,2.3,2.2,2.2,2.3,2.2,2.3,2.1,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Hollola,0.9,1.0,1.0,1.1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Huittinen,1.6,1.6,1.7,1.8,1.9,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.8,2.0,1.8,1.8,1.7,1.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Humppila,1.2,1.0,1.2,1.3,1.2,1.1,1.3,1.4,1.4,1.4,1.5,1.4,1.4,1.1,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.2,1.2,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Hyrynsalmi,2.0,2.2,2.3,2.5,2.7,2.7,2.9,2.9,3.0,3.0,2.9,3.1,3.1,3.0,3.0,2.9,2.8,2.7,2.7,3.0,2.7,2.6,2.3,2.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Hyvinkää,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.8,1.9,1.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Hämeenkyrö,1.5,1.5,1.6,1.5,1.6,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.7,1.6,1.6,1.8,2.0,1.8,1.6,1.6,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Hämeenlinna,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.9,1.7,1.7,1.7,1.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Ii,1.8,1.8,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.5,1.6,1.4,1.4,1.4,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Iisalmi,1.8,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.4,2.4,2.4,2.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Iitti,1.4,1.5,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2.0,1.9,1.9,2.0,2.1,2.0,2.0,2.0,2.1,2.0,2.0,1.9,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Ikaalinen,1.6,1.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.7,1.6,1.6,1.7,1.7,1.7,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Ilmajoki,1.9,1.9,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.7,1.5,1.5,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Ilomantsi,2.8,3.0,3.1,3.3,3.7,3.5,3.7,3.8,3.8,3.8,3.8,4.0,4.0,4.0,4.0,4.1,4.1,4.0,4.1,4.6,4.0,4.0,3.8,3.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Imatra,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.5,2.4,2.4,2.4,2.6,2.4,2.5,2.4,2.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Inari,1.2,1.2,1.4,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.7,1.6,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Ingå,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Isojoki,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,3.1,3.2,3.2,3.2,3.2,3.3,3.2,2.9,2.9,2.9,2.8,3.0,3.0,2.9,2.5,2.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Isokyrö,2.1,2.2,2.1,2.1,2.2,2.1,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.8,2.1,1.8,1.8,1.7,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Jakobstad,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Janakkala,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Joensuu,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.6,2.4,2.4,2.4,2.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Jokioinen,1.0,1.0,0.9,0.9,1.0,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.4,1.4,1.3,1.5,1.4,1.3,1.4,1.3,1.4,1.4,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Jomala,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Joroinen,2.0,1.9,1.9,2.0,2.0,2.1,1.9,2.0,1.9,1.9,1.9,1.8,1.9,1.8,1.8,1.9,1.9,1.9,1.8,1.9,1.7,1.7,1.7,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Joutsa,2.3,2.3,2.2,2.3,2.5,2.5,2.5,2.6,2.7,2.6,2.6,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.7,2.4,2.3,2.2,2.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Juuka,3.2,3.3,3.4,3.6,3.8,3.9,4.0,4.0,3.8,3.9,3.8,3.9,3.6,3.7,3.8,3.8,3.8,3.9,3.9,3.9,3.7,3.4,3.3,3.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Juupajoki,1.9,1.8,1.9,1.9,1.9,1.8,1.8,1.8,1.6,1.7,1.7,1.8,1.9,2.0,1.9,2.1,2.0,2.0,2.1,2.3,2.0,2.0,2.1,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Juva,2.3,2.3,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.7,2.6,2.6,2.7,2.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Jyväskylä,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.9,1.7,1.7,1.7,1.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Jämijärvi,1.5,1.6,1.8,1.7,1.6,1.4,1.6,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.4,1.3,1.3,1.2,1.2,1.2,0.9,0.8,0.8,0.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Jämsä,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.0,1.9,1.9,1.9,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Järvenpää,1.2,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Kaarina,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.1,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kaavi,3.6,3.6,3.7,3.8,4.0,3.9,4.1,4.3,4.5,4.6,4.7,4.3,4.1,4.1,4.0,3.9,4.0,4.1,4.1,4.7,4.2,4.2,4.3,4.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Kajaani,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.0,2.0,2.0,2.0
"Entitled to special refunds on medicines for psychosis, as % of total population",Kalajoki,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.7,1.6,1.5,1.5,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Kangasala,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kangasniemi,3.0,3.2,3.1,3.0,3.2,3.2,3.3,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,2.8,2.9,2.7,2.9,2.7,2.6,2.6,2.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Kankaanpää,1.6,1.6,1.6,1.7,1.8,1.9,1.9,1.9,2.0,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.0,2.1,2.1,2.0
"Entitled to special refunds on medicines for psychosis, as % of total population",Kannonkoski,2.8,2.7,2.9,2.9,2.9,3.0,2.9,2.9,2.8,2.9,2.8,2.7,2.6,2.4,2.8,2.6,2.4,2.4,2.6,2.8,2.6,2.5,2.6,2.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Kannus,1.5,1.5,1.6,1.7,1.7,1.7,1.9,1.9,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,2.0,2.0,1.9,2.0,1.8,1.9,1.9,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Karijoki,2.1,2.1,2.3,1.9,2.1,2.2,2.2,2.5,2.4,2.5,2.3,2.2,2.1,2.3,2.3,2.3,2.2,2.3,2.4,2.5,2.1,1.9,2.0,2.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Karkkila,1.4,1.5,1.5,1.5,1.6,1.7,1.6,1.6,1.5,1.6,1.6,1.8,1.8,1.8,1.7,1.6,1.7,1.8,1.8,1.9,1.8,1.9,1.9,1.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Karstula,1.9,1.9,2.0,2.1,2.1,2.3,2.4,2.5,2.6,2.5,2.4,2.3,2.4,2.2,2.2,2.1,2.1,2.2,2.2,2.5,2.4,2.4,2.3,2.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Karvia,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.1,2.1,2.2,2.1,2.3,2.3,1.9,2.1,2.1,2.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Kaskinen,1.5,1.6,1.4,1.8,1.8,1.8,1.9,2.0,2.1,1.9,1.6,1.8,1.7,2.0,2.0,1.6,1.4,1.3,1.3,1.7,1.3,1.2,1.1,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kauhajoki,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.2,2.3,2.2,2.3,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.5,2.3,2.2,2.1,2.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kauhava,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.0,2.0,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Kauniainen,0.5,0.6,0.6,0.7,0.7,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Kaustinen,1.9,1.8,1.9,1.9,1.9,1.9,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.3,1.4,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Keitele,2.2,2.2,2.3,2.4,2.6,2.6,2.6,2.6,2.9,2.9,3.0,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.6,3.0,2.7,2.8,2.7,2.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Kemi,1.7,1.8,1.8,1.9,2.0,2.0,2.0,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.3,2.2,2.2,2.4,2.3,2.4,2.3,2.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Kemijärvi,1.6,1.8,1.8,1.9,2.1,2.2,2.3,2.4,2.5,2.5,2.4,2.5,2.4,2.3,2.3,2.4,2.4,2.4,2.3,2.4,2.2,2.2,2.2,2.0
"Entitled to special refunds on medicines for psychosis, as % of total population",Keminmaa,0.9,1.0,1.0,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Kempele,0.9,1.0,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.2,1.1,1.1,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kerava,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Keuruu,1.8,1.8,1.9,2.0,2.1,2.1,2.1,2.0,2.1,2.1,2.0,2.0,2.0,1.9,2.0,2.0,1.9,1.9,1.9,2.1,1.9,1.9,1.8,1.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Kihniö,2.4,2.5,2.3,2.3,2.4,2.4,2.6,2.6,2.8,2.7,2.6,2.6,2.7,2.8,2.6,2.6,2.5,2.5,2.5,2.8,2.5,2.4,2.3,2.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Kimitoön,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.5,1.5,1.4,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.3,1.3
"Entitled to special refunds on medicines for psychosis, as % of total population",Kinnula,1.9,2.2,2.2,2.1,2.2,2.1,2.1,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.2,2.1,2.0,2.0,2.2,2.1,2.0,2.0,2.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kirkkonummi,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Kitee,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.7,2.8,2.7,2.7,2.7,2.7,2.8,3.0,2.8,2.8,2.7,2.7
"Entitled to special refunds on medicines for psychosis, as % of total population",Kittilä,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.7,1.6,1.6,1.6,1.5,1.3,1.4,1.3,1.2,1.2,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kiuruvesi,2.4,2.5,2.5,2.6,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.9,2.7,2.8,2.9,2.9,2.9,2.8,2.8,2.9,2.7,2.7,2.5,2.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Kivijärvi,2.7,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.5,3.6,3.5,3.8,3.6,3.6,3.4,3.8,3.4,3.3,3.2,3.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Kokemäki,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.1,2.1,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.3,2.5,2.4,2.4,2.3,2.2
"Entitled to special refunds on medicines for psychosis, as % of total population",Kokkola,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Kolari,1.2,1.4,1.4,1.3,1.3,1.4,1.6,1.7,1.9,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.6,1.5,1.6,1.7,1.5,1.4,1.3,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Konnevesi,1.6,1.7,1.7,1.7,1.7,1.8,2.0,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.0,1.9,1.7,1.7,1.8,1.7,1.6,1.5,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Kontiolahti,1.7,1.6,1.7,1.7,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.6,1.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Korsholm,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Korsnäs,2.4,2.4,2.2,2.1,2.1,2.0,1.9,1.7,1.6,1.6,1.7,1.7,1.6,1.5,1.4,1.5,1.3,1.2,1.2,1.3,1.1,1.1,1.1,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Koski Tl,1.7,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.7,1.4,1.3,1.4,1.5,1.5,1.6,1.5,1.5,1.4,1.5,1.3,1.3
