municipality,year,Life_support,Pension benefits_excl_guaranteed_pension,Pension_support,Pensioner_housing_allowance,Special_care_allowance,School_travel_allowance,Rehabilitation,Rehabilitation_allowance,Child_benefit,Child_care_allowances,Special_support_for_immigrants,Student_loan_repayment,Student_loan_interest_subsidy,Student_loan_reduction,Study_support,Family_leave_allowance,Basic_income_support,Medical_benefits,Sickness_benefits,Military_allowance,Guaranteed_pension,Unemployment_insurance,Disability_benefits,Parental_allowance,Annual_holiday_expense_allowance,Temporary_power_support,General_housing_allowance,Maternity_allowance
Asikkala,2017,0,0,0,0,5,192,82,37,761,173,0,4,4,6,261,6,0,5723,416,7,0,357,0,153,32,4,0,51
Asikkala,2018,85.07692308,1222.923077,0,297,8,109.0833333,48.92307692,12.15384615,699.8461538,112.2307692,0,5.5,4,6,149.8461538,12,100.5384615,2900.153846,109.2307692,4.846153846,145.2307692,215.6923077,375.4615385,56.61538462,11.75,4,232.0769231,12.2
Asikkala,2019,76.53846154,1197.384615,3,308.8461538,4,86.84615385,49.53846154,12.30769231,683.1538462,96.46153846,0,5.5,4,6,146.8461538,14,93.53846154,2890.846154,107.1538462,5.857142857,146.4615385,200.7692308,362.3846154,44,19,4,210.0769231,11.2
Asikkala,2020,77.61538462,1279.230769,4,299.7692308,4,69.75,52.92307692,15.23076923,682.6153846,78,0,6,4,6,141.6923077,13,125.2307692,2870.846154,108.7692308,5.666666667,175.3846154,247.6923077,413.2307692,48,9.25,4,232.6153846,11.75
Asikkala,2021,74.69230769,1270.692308,4,303.6153846,4,69.83333333,62.46153846,12.69230769,681.5384615,73.46153846,0,4.5,4,6,142.9230769,9.333333333,107.3846154,2916.923077,124.1538462,4.333333333,182.6923077,229.6923077,404.9230769,53.30769231,9.333333333,4,237.3846154,11
Asikkala,2022,77.53846154,1239.538462,4,295.6153846,4,84.69230769,70.46153846,15.46153846,674.0769231,74.46153846,0,6,4,6,140.6153846,11.33333333,105.3846154,2935.538462,148.1538462,4.888888889,182.5384615,185,392.8461538,53,12.25,4,221.6923077,9.714285714
Asikkala,2023,75,1210.076923,4,290.7692308,7,102.8333333,66.38461538,13.07692308,674.3846154,70.76923077,0,5,4,6,138.0769231,11.33333333,106.2307692,2946.615385,119.3076923,4.333333333,173.3076923,177.1538462,408.1538462,56.69230769,10.71428571,5,218.5384615,13.16666667
Asikkala,2024,78.25,1171,4,307.375,7,86.5,57.5,12.375,665.625,60.875,0,5,4,6,115.625,4,102.75,2606,76.875,4.5,167.625,170.625,406,51.375,4.2,5,255.125,5
Askola,2008,78.25,0,0,0,7,102,63,44,610,148,0,5,4,6,118,4,102.75,3373,320,4.5,167.625,115,0,151,27,5,0,48
Askola,2009,0,0,0,0,7,120,41,28,634,151,0,5,4,6,130,4,102.75,3396,267,4.5,167.625,144,0,173,29,5,0,69
Askola,2010,0,0,0,0,7,123,59,47,614,159,0,5,4,6,128,4,102.75,3533,315,4.5,167.625,139,0,175,32,5,0,54
Askola,2011,0,0,0,0,7,124,66,44,606,149,0,5,4,6,137,4,102.75,3580,324,5,0,156,0,176,27,5,0,57
Askola,2012,0,0,0,0,7,125,62,36,620,152,0,5,4,6,137,4,102.75,3592,315,5,0,159,0,164,44,5,0,68
Askola,2013,0,0,0,0,5,138,59,31,628,172,0,5,4,6,142,4,102.75,3638,330,5,0,153,0,200,33,5,0,69
Askola,2014,0,0,0,0,5,146,71,38,620,177,0,5,4,6,151,4,102.75,3680,305,5,0,211,0,166,49,5,0,56
Askola,2015,0,0,0,0,7,129,75,36,618,168,0,5,4,5,153,4,102.75,3661,328,5,0,243,0,196,31,5,0,69
Askola,2016,0,0,0,0,6,116,62,26,606,158,0,5,4,5,134,4,102.75,3292,269,5,0,228,0,186,38,5,0,47
Askola,2017,0,0,0,0,6,133,61,20,591,150,0,5,4,7,124,9,0,3263,277,8,0,226,0,132,34,5,0,42
Askola,2018,66,475.0769231,3.428571429,77.69230769,6,68.36363636,32.69230769,7.25,562.6923077,95.30769231,0,4,4,7,72.5,16,40.92307692,1527.769231,69.07692308,8,55.61538462,118.4615385,159.5384615,52.92307692,11,5,77,11.71428571
Askola,2019,62.92307692,460.3076923,3.5,76.07692308,7,60.83333333,31.61538462,6,547.3846154,80.15384615,0,7.5,4,7,70.92307692,11,47.15384615,1508.076923,61.53846154,8,56,123.3846154,163.3076923,46.69230769,14.5,5,79.92307692,12.2
Askola,2020,64,482.3076923,4,77.46153846,7,54.6,39.15384615,6.125,534.3846154,69.76923077,0,4,4,7,81.69230769,10.33333333,61.46153846,1445.538462,74.38461538,8,69.15384615,152.9230769,170,41.53846154,8.25,5,84.07692308,13
Askola,2021,61,478.3076923,4,72.46153846,7,48.09090909,36.23076923,6.625,505.3076923,63.92307692,0,4,4,7,76.23076923,15,47.69230769,1462.923077,91.53846154,8,68.07692308,150.2307692,156.6923077,45.30769231,15,5,85.84615385,10.375
Askola,2022,61.76923077,463,4,65,5,60.83333333,43.38461538,7.923076923,495.6153846,67.53846154,0,5,4,7,61,9,42,1497.846154,137.0769231,4,64.76923077,127.9230769,163.1538462,46.46153846,10.5,5,78.07692308,9.333333333
Askola,2023,61.76923077,449.5384615,4,63,5,77.25,48.92307692,6.272727273,487.2307692,56.46153846,0,4,4,7,54,12,43.53846154,1480.846154,75.30769231,4,62.92307692,102.9230769,166.6153846,32.38461538,8.25,6,80.53846154,9.8
Askola,2024,59,439.125,4,71.125,5,64,38.625,4.5,483.5,42.125,0,4,4,7,53.16666667,12,34.75,1299.5,50.75,4,60.625,91.625,161.25,34.375,5,6,80.25,4.8
Aura,2008,59,0,4,0,5,167,78,45,520,125,0,4,4,7,121,12,34.75,3081,281,4,60.625,78,0,162,29,6,0,50
Aura,2009,0,0,4,0,4,177,60,35,507,108,0,4,4,7,120,12,34.75,3108,260,5,60.625,104,0,130,23,6,0,46
Aura,2010,0,0,4,0,4,164,61,31,513,111,0,4,4,4,126,12,34.75,3110,279,4,60.625,89,0,151,17,6,0,58
Aura,2011,0,0,4,0,4,158,73,38,524,109,0,4,4,4,127,12,34.75,3172,270,12,0,107,0,175,41,6,0,61
Aura,2012,0,0,4,0,8,165,84,43,527,122,0,4,4,4,112,12,34.75,3144,262,12,0,109,0,156,36,6,0,48
Aura,2013,0,0,4,0,6,168,72,40,530,138,0,4,4,4,120,12,34.75,3161,250,5,0,132,0,134,24,6,0,45
Aura,2014,0,0,4,0,5,162,73,47,515,125,0,4,4,5,124,12,34.75,3120,226,5,0,170,0,128,29,6,0,54
Aura,2015,0,0,4,0,5,169,75,36,520,118,0,4,4,5,125,12,34.75,3152,219,5,0,174,0,166,20,6,0,53
Aura,2016,0,0,4,0,5,180,69,32,512,128,0,4,4,5,109,12,34.75,2856,193,4,0,179,0,152,32,6,0,51
Aura,2017,0,0,4,0,6,187,73,37,492,112,0,4,4,6,123,12,0,2834,224,4,0,170,0,145,28,6,0,41
Aura,2018,69.15384615,374,4,90.38461538,6,108.3333333,40.84615385,9.461538462,469.6923077,63.15384615,0,4,4,6,70.23076923,9.5,44.61538462,1336.307692,53.92307692,4,52.23076923,99.38461538,172.6153846,43.61538462,12.5,6,97.53846154,10.42857143
Aura,2019,62.30769231,372.7692308,3,93.61538462,6,100.75,40.46153846,10.46153846,463.7692308,51.15384615,0,6,4,6,68.30769231,12.5,39.76923077,1344.615385,59.30769231,4,53.46153846,91.38461538,164.4615385,45.53846154,12.5,6,90.92307692,12.5
Aura,2020,67.23076923,402.6153846,4,103.6153846,5,78.36363636,48.15384615,10.33333333,464.3076923,53.30769231,0,5.5,4,6,68.66666667,16,51.76923077,1320.846154,66,4,62.61538462,96.69230769,186.4615385,51.46153846,10.33333333,6,85.84615385,14.66666667
Aura,2021,68.53846154,408.5384615,4,98.84615385,5,72.66666667,55.69230769,13.30769231,466.5384615,52.15384615,0,5.5,4,6,80.36363636,9.333333333,42.92307692,1364.153846,78.23076923,4,64.69230769,95.30769231,197.6153846,56.15384615,11.25,6,78.07692308,13.6
Aura,2022,66.76923077,404.0769231,4,98.38461538,4,93.91666667,53.69230769,13.69230769,455.9230769,53.61538462,0,5.5,4,6,74.16666667,8.4,45.15384615,1418.692308,112.6923077,0,63.69230769,68.30769231,193.6153846,57,13.66666667,6,82.92307692,12.25
Aura,2023,60.84615385,403.6923077,4,90.76923077,8,100.8333333,59.76923077,19.15384615,450.5384615,58.92307692,0,8.5,4,6,71.38461538,14,42.38461538,1408.461538,71.61538462,4,63.69230769,64.30769231,201.3846154,45.30769231,12,5,79.30769231,11
Aura,2024,60.25,394.125,4,100.875,4,89.42857143,57.5,15.5,442,53.125,0,4,4,6,59.75,14,40.375,1243.875,50.125,4,63.125,68.125,202.25,26.75,4.5,5,101.875,4.666666667
Brändö,2008,60.25,0,4,0,4,89.42857143,57.5,15.5,54,53.125,0,4,4,6,59.75,14,40.375,391,21,4,63.125,68.125,0,4,4.5,5,0,4.666666667
Brändö,2009,0,0,4,0,4,89.42857143,57.5,15.5,48,53.125,0,4,4,6,59.75,14,40.375,385,35,4,63.125,68.125,0,4,4.5,5,0,4.666666667
Brändö,2010,0,0,4,0,4,89.42857143,57.5,15.5,45,53.125,0,4,4,6,59.75,14,40.375,356,24,4,63.125,68.125,0,4,4.5,5,0,4.666666667
Brändö,2011,0,0,4,0,4,89.42857143,57.5,15.5,42,53.125,0,4,4,6,59.75,14,40.375,375,18,4,0,68.125,0,5,4.5,5,0,4.666666667
Brändö,2012,0,0,4,0,4,89.42857143,57.5,15.5,39,53.125,0,4,4,6,6,14,40.375,373,19,4,0,68.125,0,5,4.5,5,0,4.666666667
Brändö,2013,0,0,4,0,4,89.42857143,57.5,15.5,35,53.125,0,4,4,6,6,14,40.375,358,21,4,0,68.125,0,4,4.5,5,0,4.666666667
Brändö,2014,0,0,4,0,4,89.42857143,57.5,15.5,37,53.125,0,4,4,6,6,14,40.375,368,30,4,0,68.125,0,9,4.5,5,0,4.666666667
Brändö,2015,0,0,4,0,4,89.42857143,4,4,37,53.125,0,4,4,6,6,14,40.375,365,34,4,0,4,0,6,4.5,5,0,4.666666667
Brändö,2016,0,0,4,0,4,89.42857143,9,5,35,53.125,0,4,4,6,6,14,40.375,337,36,4,0,4,0,6,4.5,5,0,4.666666667
Brändö,2017,0,0,0,0,4,89.42857143,6,5,34,53.125,0,4,4,6,4,14,40.375,329,21,4,0,4,0,4,4.5,5,0,4.666666667
Brändö,2018,0,63.23076923,0,5.692307692,4,89.42857143,4,5,28.46153846,53.125,0,4,4,6,4,14,40.375,151.3846154,7.384615385,4,5.615384615,4,20.46153846,6,4.5,5,2,4.666666667
Brändö,2019,0,64.07692308,0,6.307692308,4,89.42857143,4.142857143,5,29.23076923,53.125,0,4,4,6,4,14,0,145.8461538,6.5,4,5.846153846,4,19.92307692,5,4.5,5,0,4.666666667
Brändö,2020,0,66.30769231,0,6.769230769,4,89.42857143,4,5,26.76923077,53.125,0,4,4,6,4,14,0,142.9230769,6.636363636,4,5.076923077,4,18.38461538,6,4.5,5,3.4,4.666666667
Brändö,2021,0,64.92307692,0,4.923076923,4,89.42857143,5,5,27.07692308,53.125,0,4,4,6,4,14,0,148.3846154,15.42857143,4,5.538461538,4,19.38461538,4.666666667,4.5,5,3.875,4.666666667
Brändö,2022,0,57.61538462,0,5.230769231,4,89.42857143,4.75,5,29.23076923,53.125,0,4,4,6,4,14,0,143.5384615,15.22222222,4,5.307692308,4,17.30769231,6,4.5,5,4.636363636,4.666666667
Brändö,2023,0,51.38461538,0,3.5,4,89.42857143,4.777777778,5,29.07692308,53.125,0,4,4,6,4,14,0,140.3076923,8.75,4,4.692307692,4,15.23076923,6.428571429,4.5,5,3.666666667,4.666666667
Brändö,2024,0,49.5,0,4,4,89.42857143,4.833333333,5,26.875,53.125,0,4,4,6,4,14,0,121.875,5.2,4,5,4,15.75,4.166666667,4.5,5,4.5,4.666666667
Eckerö,2008,0,0,0,0,4,89.42857143,7,5,98,53.125,0,4,4,6,4,14,0,675,63,4,5,4,0,29,5,5,0,4.666666667
Eckerö,2009,0,0,0,0,4,89.42857143,6,5,95,53.125,0,4,4,6,4,14,0,674,70,4,5,4,0,20,5,5,0,4.666666667
Eckerö,2010,0,0,0,0,4,89.42857143,6,5,99,53.125,0,4,4,6,4,14,0,677,60,4,5,4,0,18,4,5,0,4.666666667
Eckerö,2011,0,0,0,0,4,89.42857143,8,5,100,53.125,0,4,4,6,4,14,0,687,69,4,0,4,0,27,4,5,0,4.666666667
Eckerö,2012,0,0,0,0,4,89.42857143,10,5,98,53.125,0,4,4,6,4,14,0,708,52,4,0,4,0,43,6,5,0,4.666666667
Eckerö,2013,0,0,0,0,4,89.42857143,7,4,93,53.125,0,4,4,6,4,14,0,703,56,4,0,4,0,26,8,5,0,4.666666667
Eckerö,2014,0,0,0,0,4,89.42857143,6,4,91,53.125,0,4,4,6,4,14,0,678,47,4,0,4,0,17,8,5,0,4.666666667
